sample_id,pool,hive_id,apiary_id,type,lat,lon,region
VAR010,p5,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR011,p5,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR013,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR014,p5,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR015,p5,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR016,p5,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR017,p1,HIV031,API010,c,39.52322,-122.22981,CA-N
VAR018,p4,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR019,p4,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR020,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR022,p1,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR023,p3,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR024,p4,HIV035,API011,m,37.35047,-122.16418,CA-B
VAR025,p2,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR027,p2,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR028,p5,HIV096,API029,m,47.15633,-114.0405,MT-W
VAR029,p5,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR030,p4,HIV031,API010,c,39.52322,-122.22981,CA-N
VAR032,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR033,p3,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR034,p5,HIV024,API008,c,39.77619,-122.15926,CA-N
VAR035,p4,HIV025,API008,c,39.77619,-122.15926,CA-N
VAR036,p3,HIV027,API008,c,39.77619,-122.15926,CA-N
VAR038,p5,HIV042,API013,s,37.33347,-122.17572,CA-B
VAR039,p3,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR040,p5,HIV058,API018,s,44.4146,-124.03714,OR-C
VAR042,p3,HIV063,API019,s,45.57613,-123.16606,OR-P
VAR043,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR044,p5,HIV085,API026,s,46.90362,-113.96121,MT-W
VAR046,p4,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR047,p4,HIV031,API010,c,39.52322,-122.22981,CA-N
VAR048,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR049,p3,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR050,p3,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR052,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR053,p3,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR054,p3,HIV041,API013,s,37.33347,-122.17572,CA-B
VAR055,p4,HIV078,API023,s,47.47,-122.46284,WA-PS
VAR056,p4,HIV090,API027,m,47.29002,-114.03374,MT-W
VAR057,p4,HIV008,API004,m,44.48783,-122.88072,OR-MWV
VAR058,p2,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR060,p3,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR061,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR062,p5,HIV026,API008,c,39.77619,-122.15926,CA-N
