sample_id,apiary_id,hive_id,lat,lon,movement,type,region,treatment,pool_id,date_collected,date_extracted,s_region
VAR010,API007,HIV022,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p5,2019-07-09T00:00:00Z,2019-08-01T00:00:00Z,CA
VAR011,API011,HIV036,37.35047, -122.16418,migratory,m,CA-B,none,p5,2019-07-11T00:00:00Z,2019-08-01T00:00:00Z,CA
VAR013,API007,HIV023,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p4,2019-07-09T00:00:00Z,2019-08-02T00:00:00Z,CA
VAR014,API011,HIV036,37.35047, -122.16418,migratory,m,CA-B,none,p5,2019-07-11T00:00:00Z,2019-08-02T00:00:00Z,CA
VAR015,API024,HIV080,47.51877, -122.38726,migratory,m,WA-PS,none,p5,2019-07-21T00:00:00Z,2019-08-02T00:00:00Z,WA
VAR016,API016,HIV054,44.14240, -123.92453,sedentary,s,OR-C,"Apiguard, oxalic",p5,2019-07-18T00:00:00Z,2019-08-02T00:00:00Z,OR
VAR018,API027,HIV087,47.29002, -114.03374,migratory,m,MT-W,amatraz,p4,2019-07-24T00:00:00Z,2019-08-03T00:00:00Z,MT
VAR019,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p4,2019-07-17T00:00:00Z,2019-08-03T00:00:00Z,OR
VAR020,API011,HIV036,37.35047, -122.16418,migratory,m,CA-B,none,p3,2019-07-11T00:00:00Z,2019-08-03T00:00:00Z,CA
VAR023,API007,HIV023,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p3,2019-07-09T00:00:00Z,2019-08-04T00:00:00Z,CA
VAR024,API011,HIV035,37.35047, -122.16418,migratory,m,CA-B,none,p4,2019-07-11T00:00:00Z,2019-08-04T00:00:00Z,CA
VAR028,API029,HIV096,47.15633, -114.04050,migratory,m,MT-W,amatraz,p5,2019-07-24T00:00:00Z,2019-08-04T00:00:00Z,MT
VAR029,API005,HIV012,45.16431, -122.45376,migratory,m,OR-P,apivar,p5,2019-07-02T00:00:00Z,2019-08-05T00:00:00Z,OR
VAR030,API010,HIV031,39.52322, -122.22981,CA,r,CA-N,"apivar, oxalic",p4,2019-07-09T00:00:00Z,2019-08-05T00:00:00Z,CA
VAR032,API024,HIV080,47.51877, -122.38726,migratory,m,WA-PS,none,p4,2019-07-21T00:00:00Z,2019-08-05T00:00:00Z,WA
VAR033,API007,HIV022,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p3,2019-07-09T00:00:00Z,2019-08-06T00:00:00Z,CA
VAR034,API008,HIV024,39.77619, -122.15926,CA,r,CA-N,"apivar, formic",p5,2019-07-09T00:00:00Z,2019-08-06T00:00:00Z,CA
VAR035,API008,HIV025,39.77619, -122.15926,CA,r,CA-N,"apivar, formic",p4,2019-07-09T00:00:00Z,2019-08-06T00:00:00Z,CA
VAR036,API008,HIV027,39.77619, -122.15926,CA,r,CA-N,"apivar, formic",p3,2019-07-09T00:00:00Z,2019-08-06T00:00:00Z,CA
VAR038,API013,HIV042,37.33347, -122.17572,sedentary,s,CA-B,none,p5,2019-07-12T00:00:00Z,2019-08-06T00:00:00Z,CA
VAR039,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-08-06T00:00:00Z,OR
VAR042,API019,HIV063,45.57613, -123.16606,sedentary,s,OR-P,NA,p3,2019-07-19T00:00:00Z,2019-08-06T00:00:00Z,OR
VAR043,API025,HIV082,46.91027, -113.95805,sedentary,s,MT-W,NA,p4,2019-07-23T00:00:00Z,2019-08-06T00:00:00Z,MT
VAR044,API026,HIV085,46.90362, -113.96121,sedentary,s,MT-W,NA,p5,2019-07-23T00:00:00Z,2019-08-06T00:00:00Z,MT
VAR046,API007,HIV022,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p4,2019-07-09T00:00:00Z,2019-08-07T00:00:00Z,CA
VAR047,API010,HIV031,39.52322, -122.22981,CA,r,CA-N,"apivar, oxalic",p4,2019-07-09T00:00:00Z,2019-08-07T00:00:00Z,CA
VAR048,API011,HIV036,37.35047, -122.16418,migratory,m,CA-B,none,p3,2019-07-11T00:00:00Z,2019-08-07T00:00:00Z,CA
VAR049,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-08-07T00:00:00Z,OR
VAR050,API016,HIV054,44.14240, -123.92453,sedentary,s,OR-C,"Apiguard, oxalic",p3,2019-07-18T00:00:00Z,2019-08-07T00:00:00Z,OR
VAR052,API025,HIV082,46.91027, -113.95805,sedentary,s,MT-W,NA,p3,2019-07-23T00:00:00Z,2019-08-07T00:00:00Z,MT
VAR053,API027,HIV087,47.29002, -114.03374,migratory,m,MT-W,amatraz,p3,2019-07-24T00:00:00Z,2019-08-07T00:00:00Z,MT
VAR054,API013,HIV041,37.33347, -122.17572,sedentary,s,CA-B,none,p3,2019-07-12T00:00:00Z,2019-08-07T00:00:00Z,CA
VAR055,API023,HIV078,47.47000, -122.46284,sedentary,s,WA-PS,NA,p4,2019-07-20T00:00:00Z,2019-08-07T00:00:00Z,WA
VAR056,API027,HIV090,47.29002, -114.03374,migratory,m,MT-W,amatraz,p4,2019-07-24T00:00:00Z,2019-08-07T00:00:00Z,MT
VAR057,API004,HIV008,44.48783, -122.88072,migratory,m,OR-MWV,formic,p4,2019-06-27T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR060,API007,HIV022,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p3,2019-07-09T00:00:00Z,2019-08-08T00:00:00Z,CA
VAR061,API007,HIV023,39.79929, -122.14147,CA,r,CA-N,"apivar, formic",p4,2019-07-09T00:00:00Z,2019-08-08T00:00:00Z,CA
VAR062,API008,HIV026,39.77619, -122.15926,CA,r,CA-N,"apivar, formic",p5,2019-07-09T00:00:00Z,2019-08-08T00:00:00Z,CA
VAR067,API013,HIV041,37.33347, -122.17572,sedentary,s,CA-B,none,p5,2019-07-12T00:00:00Z,2019-08-08T00:00:00Z,CA
VAR068,API015,HIV047,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p4,2019-07-17T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR069,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR070,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR071,API016,HIV054,44.14240, -123.92453,sedentary,s,OR-C,"Apiguard, oxalic",p4,2019-07-18T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR072,API016,HIV054,44.14240, -123.92453,sedentary,s,OR-C,"Apiguard, oxalic",p4,2019-07-18T00:00:00Z,2019-08-08T00:00:00Z,OR
VAR076,API024,HIV080,47.51877, -122.38726,migratory,m,WA-PS,none,p5,2019-07-21T00:00:00Z,2019-08-08T00:00:00Z,WA
